DateTime || IpAddress || Questions || Answers || Intents || Entites||session
2019-05-13 10:43 || 14.142.203.106 || how to file tax || You can file tax either by<br/><b>1. Signing an electronic return</b> <br/> or <br/><b>2.Signing a paper tax return.</b><br/> to know more visit https://www.irs.gov/filing/individuals/how-to-file || identify procedure || [{'entity': 'tax_service', 'text': 'tax'}]|| 14.142.203.106_9224683f-34ef-419c-84fe-27d2cffcb0d9
2019-05-13 10:44 || 14.142.203.106 || how to file taxes || You can file tax either by<br/><b>1. Signing an electronic return</b> <br/> or <br/><b>2.Signing a paper tax return.</b><br/> to know more visit https://www.irs.gov/filing/individuals/how-to-file || identify procedure || [{'entity': 'tax_service', 'text': 'taxes'}]|| 14.142.203.106_9224683f-34ef-419c-84fe-27d2cffcb0d10
2019-05-13 10:45 || 14.142.203.106 || how to file tax || You can file tax either by - <br/><b>1. Signing an electronic return</b> <br/> or <br/><b>2.Signing a paper tax return.</b><br/> to know more visit https://www.irs.gov/filing/individuals/how-to-file || identify procedure || [{'entity': 'tax_service', 'text': 'tax'}]|| 14.142.203.106_9224683f-34ef-419c-84fe-27d2cffcb0d11
2019-05-13 10:56 || 14.142.203.106 || file tax || You can file tax either by - <br/><b>1. Signing an electronic return</b> <br/> or <br/><b>2.Signing a paper tax return.</b><br/> to know more visit https://www.irs.gov/filing/individuals/how-to-file || identify procedure || [{'entity': 'tax_service', 'text': 'tax'}]|| 14.142.203.106_2cc59f05-2973-4ea3-8d96-2eb9af805527
2019-05-13 10:56 || 14.142.203.106 || what is back tax || Let's see what Back Taxes are:<br>Back Taxes are the taxes due or owed to the IRS or the State from earlier years by the taxpayer. In other words, Back Taxes are basically, taxes a taxpayer failed to pay the IRS, and the tax agency failed to collect on the deadline. || search definition || [{'entity': 'tax_service', 'text': 'back tax'}]|| 14.142.203.106_2cc59f05-2973-4ea3-8d96-2eb9af805528
2019-05-13 12:02 || 14.142.203.106 || What is Tax || A compulsory contribution to state revenue, levied by the government on workers' income and business profits, or added to the cost of some goods, services, and transactions.  || search definition || [{'entity': 'tax_service', 'text': 'Tax'}]|| 14.142.203.106_2cc59f05-2973-4ea3-8d96-2eb9af805529
2019-05-13 12:03 || 14.142.203.106 || Tell me about form 1040 || Your tax preparation needs are handled with care and expertise at our boutique tax firm located in Whittier, California. Our clients can conveniently email, fax, mail or personally come to our offices. || search definition || [{'entity': 'form', 'text': '1040'}]|| 14.142.203.106_2cc59f05-2973-4ea3-8d96-2eb9af805530
2019-05-13 12:03 || 14.142.203.106 || how to file tax || I'm doing good!!! How about you? || asking health || []|| 14.142.203.106_2cc59f05-2973-4ea3-8d96-2eb9af805531
2019-05-13 12:03 || 14.142.203.106 || how do I file tax || Good, how about you? || asking health || []|| 14.142.203.106_3d9f8331-6b76-44e6-b704-496bfa45597e
2019-05-13 12:03 || 14.142.203.106 || how can I file tax || You can file tax either by - <br/><b>1. Signing an electronic return</b> <br/> or <br/><b>2.Signing a paper tax return.</b><br/> to know more visit https://www.irs.gov/filing/individuals/how-to-file || identify procedure || [{'entity': 'tax_service', 'text': 'tax'}]|| 14.142.203.106_3d9f8331-6b76-44e6-b704-496bfa45597e
2019-05-13 17:18 || 14.142.203.106 || hi || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_3d9f8331-6b76-44e6-b704-496bfa45597e
2019-05-13 17:55 || 14.142.203.106 || hi || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_3d9f8331-6b76-44e6-b704-496bfa45597e
2019-05-13 18:04 || 14.142.203.106 || hello || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_3d9f8331-6b76-44e6-b704-496bfa45597e
2019-05-13 18:20 || 99.92.90.180 || asfsdfs ||  || fallback ||퇐ᆞ嘣|| 99.92.90.18_e2780a78-5748-4287-aa35-f0aa30eecb9a
2019-05-13 18:20 || 99.92.90.180 || asfsdfs || Sorry I am not getting you || fallback || []|| 99.92.90.18_e2780a78-5748-4287-aa35-f0aa30eecb9a
2019-05-13 18:20 || 99.92.90.180 || who r u ||  || fallback ||퇐ᆞ嘣|| 99.92.90.18_e2780a78-5748-4287-aa35-f0aa30eecb9a
2019-05-13 18:20 || 99.92.90.180 || who r u || Sorry, I am not getting you. Type 'help' if you need assistance. || fallback || []|| 99.92.90.18_e2780a78-5748-4287-aa35-f0aa30eecb9a
2019-05-13 18:20 || 99.92.90.180 || who aer you ||  || fallback |||| 99.92.90.18_e2780a78-5748-4287-aa35-f0aa30eecb9a
2019-05-13 18:20 || 99.92.90.180 || who aer you || Sorry, I am not getting you. Type 'help' if you need assistance. || fallback || []|| 99.92.90.18_e2780a78-5748-4287-aa35-f0aa30eecb9a
2019-05-13 18:20 || 99.92.90.180 ||1040|| Are you trying to ask about any <b>form</b> or <b>services</b>? Please mention in a sentence || search definition || []|| 99.92.90.18_e2780a78-5748-4287-aa35-f0aa30eecb9a
2019-05-13 18:20 || 99.92.90.180 || form 1040 || Your tax preparation needs are handled with care and expertise at our boutique tax firm located in Whittier, California. Our clients can conveniently email, fax, mail or personally come to our offices. || search definition || [{'entity': 'form', 'text': '1040'}]|| 99.92.90.18_e2780a78-5748-4287-aa35-f0aa30eecb9a
2019-05-13 18:20 || 99.92.90.180 || what is form 1040 || Your tax preparation needs are handled with care and expertise at our boutique tax firm located in Whittier, California. Our clients can conveniently email, fax, mail or personally come to our offices. || search definition || [{'entity': 'form', 'text': '1040'}]|| 99.92.90.18_e2780a78-5748-4287-aa35-f0aa30eecb9a
2019-05-13 18:21 || 99.92.90.180 || form 433d ||  || fallback ||嘣|| 99.92.90.18_e2780a78-5748-4287-aa35-f0aa30eecb9a
2019-05-13 18:21 || 99.92.90.180 || form 433d || Sorry, I am not getting you. Type 'help' if you need assistance. || fallback || []|| 99.92.90.180_2a242a8b-cc80-4e18-8788-6ace90ea91d9
2019-05-13 18:21 || 99.92.90.180 || asfdfsd ||  || fallback |||| 99.92.90.180_2a242a8b-cc80-4e18-8788-6ace90ea91d10
2019-05-13 18:21 || 99.92.90.180 || asfdfsd || Sorry, I am not getting you. Type 'help' if you need assistance. || fallback || []|| 99.92.90.180_2a242a8b-cc80-4e18-8788-6ace90ea91d11
2019-05-13 18:21 || 99.92.90.180 || form 1040 || Your tax preparation needs are handled with care and expertise at our boutique tax firm located in Whittier, California. Our clients can conveniently email, fax, mail or personally come to our offices. || search definition || [{'entity': 'form', 'text': '1040'}]|| 99.92.90.180_2a242a8b-cc80-4e18-8788-6ace90ea91d12
2019-05-13 18:23 || 14.142.203.106 || what is 1040 || Your tax preparation needs are handled with care and expertise at our boutique tax firm located in Whittier, California. Our clients can conveniently email, fax, mail or personally come to our offices. || search definition || [{'entity': 'form', 'text': '1040'}]|| 14.142.203.106_c282d4dc-1eec-4be1-9081-4f0f34d134bc
2019-05-13 18:24 || 47.15.185.207 || Hi || Hi, Hi !!! <i class='em em-slightly_smiling_face'></i> || greet || [{'entity': 'daytime', 'text': 'Hi'}]|| 47.15.185.207_146e447a-5135-4802-bd3b-ef7f3170e08d
2019-05-13 18:24 || 47.15.185.207 || Hi || good Hi ! Ask me any questions related to tax || greet || [{'entity': 'daytime', 'text': 'Hi'}]|| 47.15.185.207_146e447a-5135-4802-bd3b-ef7f3170e08d
2019-05-14 12:45 || 14.142.203.106 || what is form 940 || Use <b>Form 940</b> to report your annual Federal Unemployment Tax Act (FUTA) tax. Together with state unemployment tax systems, the FUTA tax provides funds for paying unemployment compensation to workers who have lost their jobs.<br/>Most employers pay both a federal and a state unemployment tax. Only employers pay FUTA tax. Do not collect or deduct FUTA tax from your employees wages.<br/> To know more visit https://www.irs.gov/forms-pubs/about-form-940 || search definition || [{'entity': 'form', 'text': '940'}]|| 14.142.203.106_146e447a-5135-4802-bd3b-ef7f3170e08d
2019-05-14 12:47 || 14.142.203.106 || what is form 940 || Use <b>Form 940</b> to report your annual Federal Unemployment Tax Act (FUTA) tax. Together with state unemployment tax systems, the FUTA tax provides funds for paying unemployment compensation to workers who have lost their jobs.<br/><br/>Most employers pay both a federal and a state unemployment tax. Only employers pay FUTA tax. Do not collect or deduct FUTA tax from your employees wages.<br/><br/>To know more visit https://www.irs.gov/forms-pubs/about-form-940 || search definition || [{'entity': 'form', 'text': '940'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f0
2019-05-14 12:53 || 14.142.203.106 || what is 944 ||  || search definition || [{'entity': 'form', 'text': '944'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f1
2019-05-14 12:56 || 14.142.203.106 || what is 944 || <b>Form 944</b> is designed so the smallest employers (those whose annual liability for social security, Medicare, and withheld federal income taxes is $1,000 or less) will file and pay these taxes only once a year instead of every quarter.<br/><br/>To know more visit https://www.irs.gov/forms-pubs/about-form-944 || search definition || [{'entity': 'form', 'text': '944'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f2
2019-05-14 12:58 || 14.142.203.106 || what is form 941 || Employers use Form 941 to:<br/><br/><ul><li>Report income taxes, social security tax, or Medicare tax withheld from employees paychecks.</li><li>Pay the employers portion of social security or Medicare tax.</li></ul> || search definition || [{'entity': 'form', 'text': '941'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f3
2019-05-14 12:59 || 14.142.203.106 || what is form 941 || Employers use <b>Form 941</b> to:<br/><br/><ul><li>Report income taxes, social security tax, or Medicare tax withheld from employees paychecks.</li><li>Pay the employers portion of social security or Medicare tax.</li></ul> || search definition || [{'entity': 'form', 'text': '941'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f4
2019-05-14 13:05 || 14.142.203.106 || what is form 433 || <b>IRS Form 433-A</b>, which is formally named the Collection Information Statement for Wage Earners and Self-Employed Individuals, is a document the IRS requires in some situations where an individual owes Federal income tax that he or she cannot pay in full.<br/><br/>To download <b>form 433</b> visit https://www.irs.gov/pub/irs-pdf/f433a.pdf || search definition || [{'entity': 'form', 'text': '433'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f5
2019-05-14 13:09 || 14.142.203.106 || what is form 43 b || Are you trying to ask about any <b>form</b> or <b>services</b>? Please mention in a sentence || search definition || []|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f6
2019-05-14 13:10 || 14.142.203.106 || what is form 433 - B || <b>IRS Form 433-A</b>, which is formally named the Collection Information Statement for Wage Earners and Self-Employed Individuals, is a document the IRS requires in some situations where an individual owes Federal income tax that he or she cannot pay in full.<br/><br/>To download <b>form 433</b> visit https://www.irs.gov/pub/irs-pdf/f433a.pdf || search definition || [{'entity': 'form', 'text': '433'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f7
2019-05-14 13:11 || 14.142.203.106 || what is form 433-B ||  || search definition || [{'entity': 'form', 'text': '433-B'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f8
2019-05-14 13:12 || 14.142.203.106 || what is form 433 || <b>IRS Form 433-A</b>, which is formally named the Collection Information Statement for Wage Earners and Self-Employed Individuals, is a document the IRS requires in some situations where an individual owes Federal income tax that he or she cannot pay in full.<br/><br/>To download <b>form 433-A</b> visit https://www.irs.gov/pub/irs-pdf/f433a.pdf || search definition || [{'entity': 'form', 'text': '433'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f9
2019-05-14 13:13 || 14.142.203.106 || what is form 433-B ||  || search definition || [{'entity': 'form', 'text': '433-B'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f10
2019-05-14 13:14 || 14.142.203.106 || what is form 433-B4 ||  || search definition || [{'entity': 'form', 'text': '433-B4'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f11
2019-05-14 13:14 || 14.142.203.106 || what is form 433 || In summary, <b>Form 433-B</b> is a tool used by the IRS to determine the ability of a business to pay its tax debts in a variety of situations. <br/><br/><b>Form 433-B</b> might come into play when a company needs to enter into an alternative payment arrangement, a partial or full instalment payment agreement, or an offer in compromise.<br/><br/>To download <b>Form 433-B</b> visit https://www.irs.gov/pub/irs-pdf/f433b.pdf || search definition || [{'entity': 'form', 'text': '433'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f12
2019-05-14 13:14 || 14.142.203.106 || what is form 433-B || In summary, <b>Form 433-B</b> is a tool used by the IRS to determine the ability of a business to pay its tax debts in a variety of situations. <br/><br/><b>Form 433-B</b> might come into play when a company needs to enter into an alternative payment arrangement, a partial or full instalment payment agreement, or an offer in compromise.<br/><br/>To download <b>Form 433-B</b> visit https://www.irs.gov/pub/irs-pdf/f433b.pdf || search definition || [{'entity': 'form', 'text': '433-B'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f13
2019-05-14 13:29 || 14.142.203.106 || 433-D ||  || fallback |||| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f14
2019-05-14 13:29 || 14.142.203.106 || 433-D || Sorry, I did not understand your query. Type 'help' if you need assistance. || fallback || []|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f15
2019-05-14 13:29 || 14.142.203.106 || what is 433-D || <b>Form 433D</b> Installment Agreement is used to finalize an <b>IRS</b> Installment Agreement and <b>IRS</b> Payment Plans for both individuals and businesses.<br/><br/>It is also used to set up Automatic Direct Debit installment payments from your bank account.<br/><br/>To download the form visit https://www.irs.gov/pub/irs-pdf/f433d.pdf || search definition || [{'entity': 'form', 'text': '433-D'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f16
2019-05-14 13:32 || 14.142.203.106 || what is form 433F ||  || search definition || [{'entity': 'form', 'text': '433F'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f17
2019-05-14 13:33 || 14.142.203.106 || what is form 433F ||  || search definition || [{'entity': 'form', 'text': '433F'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f18
2019-05-14 13:34 || 14.142.203.106 || what is form 433F || <b>Form 433-F</b> is used to obtain current financial information necessary for determining how a wage earner or self-employed individual can satisfy an outstanding tax liability. <br/><br/>Note: You may be able to establish an Online Payment Agreement on the IRS web site.<br/><br/>To download <b>Form 433-F</b> visit https://www.irs.gov/pub/irs-pdf/f433f.pdf || search definition || [{'entity': 'form', 'text': '433F'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f19
2019-05-14 13:36 || 14.142.203.106 || what is form 1040 || <b>Form 1040</b> is used by U.S. taxpayers to file an annual income tax return.<br/><br/>For Tax Year 2018, you will no longer use Form 1040-A or Form 1040-EZ, but instead will use the redesigned Form 1040. Many people will only need to file <b>Form 1040</b> and no schedules.<br/><br/>To know more visit https://www.irs.gov/forms-pubs/about-form-1040 || search definition || [{'entity': 'form', 'text': '1040'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f20
2019-05-14 13:39 || 14.142.203.106 || form 1040EZ ||  || fallback ||翼|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f21
2019-05-14 13:39 || 14.142.203.106 || form 1040EZ || Sorry, I did not understand your query. Type 'help' if you need assistance. || fallback || []|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f22
2019-05-14 13:40 || 14.142.203.106 || what is form 1040EZ || Income tax return filed by certain citizens or residents of the United States.<br/><br/>For Tax Year 2018, you will no longer use <b>Form 1040-EZ</b>, but instead use the redesigned <b>Form 1040</b>.<br/><br/>To know more visit https://www.irs.gov/forms-pubs/about-form-1040-ez || search definition || [{'entity': 'form', 'text': '1040EZ'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f23
2019-05-14 13:43 || 14.142.203.106 || what is form 1120 || Domestic corporations use <b>Form 1120</b> to:<br/><br/><ul><li>Report their income, gains, losses, deductions, credits.</li><li>Figure their income tax liability.</li></ul><br/><br/>To know more visit https://www.irs.gov/forms-pubs/about-form-1120 || search definition || [{'entity': 'form', 'text': '1120'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f24
2019-05-14 13:46 || 14.142.203.106 || what is form 4065 ||  || search definition || [{'entity': 'form', 'text': '4065'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f25
2019-05-14 13:46 || 14.142.203.106 || what is form 1065 || Partnerships file an information return to report their income, gains, losses, deductions, credits, etc. A partnership does not pay tax on its income but <b>passes through</b> any profits or losses to its partners. Partners must include partnership items on their tax or information returns.<br/><br/>To know more visit https://www.irs.gov/forms-pubs/about-form-1065 || search definition || [{'entity': 'form', 'text': '1065'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f26
2019-05-14 13:49 || 14.142.203.106 || what is form 706 || The executor of a decedent estate uses <b>Form 706</b> to figure the estate tax imposed by Chapter 11 of the Internal Revenue Code. Form 706 is also used to compute the generation-skipping transfer (GST) tax imposed by Chapter 13 on direct skips.<br/><br/>To know more visit https://www.irs.gov/forms-pubs/about-form-706 || search definition || [{'entity': 'form', 'text': '706'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f27
2019-05-14 13:51 || 14.142.203.106 || what is form 709 || Use <b>Form 709</b> to report:<br/><br/><ul><li>Transfers subject to the federal gift and certain generation-skipping transfer (GST) taxes.</li><li>Allocation of the lifetime GST exemption to property transferred during the transferor's lifetime.</li></ul> || search definition || [{'entity': 'form', 'text': '709'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f28
2019-05-14 13:52 || 14.142.203.106 || what is form 709 || Use <b>Form 709</b> to report:<br/><br/><ul><li>Transfers subject to the federal gift and certain generation-skipping transfer (GST) taxes.</li><li>Allocation of the lifetime GST exemption to property transferred during the transferor's lifetime.</li></ul><br/><br/>To know more visit https://www.irs.gov/forms-pubs/about-form-709 || search definition || [{'entity': 'form', 'text': '709'}]|| 14.142.203.106_6cec8dc3-fc7e-452f-8ffa-a32de8d722f29
2019-05-14 17:57 || 223.223.140.198 || what is form 1040 || <b>Form 1040</b> is used by U.S. taxpayers to file an annual income tax return.<br/><br/>For Tax Year 2018, you will no longer use Form 1040-A or Form 1040-EZ, but instead will use the redesigned Form 1040. Many people will only need to file <b>Form 1040</b> and no schedules.<br/><br/>To know more visit https://www.irs.gov/forms-pubs/about-form-1040 || search definition || [{'entity': 'form', 'text': '1040'}]|| 223.223.140.198_aae43368-1a26-438b-af4a-16561c0f2b84
2019-05-15 07:34 || 14.142.203.106 || hi || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a4
2019-05-15 07:34 || 14.142.203.106 || what is tax || A compulsory contribution to state revenue, levied by the government on workers' income and business profits, or added to the cost of some goods, services, and transactions.  || search definition || [{'entity': 'tax_service', 'text': 'tax'}]|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a5
2019-05-15 07:48 || 14.142.203.106 || hello || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a6
2019-05-15 09:02 || 14.142.203.106 || hello || Hi, how can I help you? || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a7
2019-05-15 09:07 || 14.142.203.106 || hello || Hi, how can I help you? || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a8
2019-05-15 09:11 || 14.142.203.106 || hello || Hi, how can I help you? || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a9
2019-05-15 09:33 || 14.142.203.106 || what is tax || A compulsory contribution to state revenue, levied by the government on workers' income and business profits, or added to the cost of some goods, services, and transactions.  || search definition || [{'entity': 'tax_service', 'text': 'tax'}]|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a10
2019-05-15 09:41 || 14.142.203.106 || hello || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a11
2019-05-15 09:54 || 14.142.203.106 || hello || Hi, how can I help you? || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a12
2019-05-15 09:55 || 14.142.203.106 || hello || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a13
2019-05-15 09:56 || 14.142.203.106 || hello || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a14
2019-05-15 09:57 || 14.142.203.106 || hello || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a15
2019-05-15 09:59 || 14.142.203.106 || hello || Hi, how can I help you? || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a16
2019-05-15 10:07 || 14.142.203.106 || hello || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a17
2019-05-15 10:09 || 14.142.203.106 || hello || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a18
2019-05-15 10:10 || 14.142.203.106 || hello || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a19
2019-05-15 10:13 || 14.142.203.106 || what is tax || A compulsory contribution to state revenue, levied by the government on workers' income and business profits, or added to the cost of some goods, services, and transactions.  || search definition || [{'entity': 'tax_service', 'text': 'tax'}]|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a20
2019-05-15 10:19 || 14.142.203.106 || what is 1040 || <b>Form 1040</b> is used by U.S. taxpayers to file an annual income tax return.<br/><br/>For Tax Year 2018, you will no longer use Form 1040-A or Form 1040-EZ, but instead will use the redesigned Form 1040. Many people will only need to file <b>Form 1040</b> and no schedules.<br/><br/>To know more visit https://www.irs.gov/forms-pubs/about-form-1040 || search definition || [{'entity': 'form', 'text': '1040'}]|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a21
2019-05-15 10:22 || 14.142.203.106 || hello || Hi, how can I help you? || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a22
2019-05-15 10:24 || 14.142.203.106 || hello || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a23
2019-05-15 10:27 || 14.142.203.106 || what is tax || A compulsory contribution to state revenue, levied by the government on workers' income and business profits, or added to the cost of some goods, services, and transactions.  || search definition || [{'entity': 'tax_service', 'text': 'tax'}]|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a24
2019-05-15 10:29 || 14.142.203.106 || what is tax || A compulsory contribution to state revenue, levied by the government on workers' income and business profits, or added to the cost of some goods, services, and transactions.  || search definition || [{'entity': 'tax_service', 'text': 'tax'}]|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a25
2019-05-15 10:31 || 14.142.203.106 || hello || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a26
2019-05-15 10:37 || 14.142.203.106 || hello || Hi, how can I help you? || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a27
2019-05-15 10:43 || 14.142.203.106 || hello || Hi, how can I help you? || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a28
2019-05-15 10:44 || 14.142.203.106 || ji ||  || fallback |||| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a29
2019-05-15 10:44 || 14.142.203.106 || ji || Sorry, I did not understand your query. Type 'help' if you need assistance. || fallback || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a30
2019-05-15 10:49 || 14.142.203.106 || hello || Hi, how can I help you? || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a31
2019-05-15 11:05 || 14.142.203.106 || hello || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_c8d54401-d1d1-4934-a753-4999ce1403a32
